label,x,y,z
T9,-0.084,0.0081999999999999,-0.0161
FT9,-0.081,0.0152,0.0093
FTT9h,-0.083,0.0119,0.0327999999999999
T7,-0.085,-0.0035,0.0477
TP7,-0.081,-0.0306,0.0489
TTP7h,-0.083,-0.0222,0.069
C5,-0.085,0.0015,0.0733
FTT7h,-0.083,0.0224,0.0628
Ft7,-0.079,0.0341,0.0423
10,-0.0,-0.0,0.0
11,-0.0,-0.0,0.0
FFT7h,-0.075,0.0518,0.0472999999999999
FC5,-0.077,0.0394,0.0699
FCC5h,-0.08,0.0189,0.0934
CCP5h,-0.083,-0.0079,0.0965999999999999
TPP5h,-0.079,-0.0332,0.0864
P7,-0.077,-0.0448999999999999,0.0636
P9,-0.075,-0.0492,0.0359
P11,-0.071,-0.0523,0.0091
PO11,-0.062,-0.0675,0.0169
PO9,-0.064,-0.0665,0.043
PPO7,-0.066,-0.0636,0.0678
P5,-0.068,-0.0547,0.092
CPP5h,-0.069,-0.0396,0.1093
CP3,-0.073,-0.0134,0.1183
C3,-0.073,0.0114,0.1155
FC3,-0.071,0.0353,0.1046
FFC5h,-0.064,0.059,0.0917999999999999
F5,-0.065,0.0689,0.0645
F7,-0.067,0.0691,0.0402999999999999
AF7,-0.05,0.0919,0.0457
AFF5h,-0.049,0.0895,0.0681
F3,-0.05,0.0792,0.0925
FFC3h,-0.051,0.0596,0.1139
FCC3h,-0.053,0.0378,0.1255
C1,-0.054,0.0129,0.1364
CCP3h,-0.053,-0.0126,0.1424
CPP3h,-0.051,-0.0373999999999999,0.1372
P3,-0.049,-0.0573,0.1215
PO3,-0.048,-0.072,0.099
POO7,-0.049,-0.0799,0.0747
POO9h,-0.046,-0.0834,0.053
POO11h,-0.046,-0.0842,0.0289
I1,-0.024,-0.0945999999999999,0.0432
OI1,-0.026,-0.0938,0.0673
POO3,-0.024,-0.0871,0.0907
PO1,-0.025,-0.0767,0.1105999999999999
PPO1,-0.028,-0.0613,0.131
CPP1h,-0.029,-0.0424,0.1459
CP1,-0.029,-0.0193,0.1543
CCP1h,-0.027,0.0059,0.1544
FCC1h,-0.028,0.0321,0.1463
FC1,-0.029,0.0567,0.1323
FFC1h,-0.027,0.0772,0.1179
F1,-0.028,0.0948,0.0967
AF3,-0.028,0.105,0.0713
FP1,-0.027,0.107,0.0458999999999999
FPz,-0.0,0.1115,0.0414
AFz,-0.0,0.1117,0.0685
Fz,-0.0,0.0863,0.1188
FCz,-0.0,0.067,0.1341999999999999
FCCz,-0.0,0.0443,0.1469
Cz,-0.0,0.0193999999999999,0.1578
CPPz,-0.0,-0.0332,0.1559
VEO,-0.0,-0.0,0.0
HEO,-0.0,-0.0,0.0
EKG,-0.0,-0.0,0.0
EMG,-0.0,-0.0,0.0
PPOz,-0.0,-0.0538999999999999,0.1422
POz,-0.0,-0.0699,0.1259
POOz,-0.0,-0.0833,0.1062999999999999
Oz,-0.0,-0.092,0.0832
Iz,-0.0,-0.0965999999999999,0.0606
I2,0.024,-0.0945999999999999,0.0432
OI2,0.026,-0.0919,0.0670999999999999
POO4,0.024,-0.0861,0.0906
PO2,0.026,-0.0757,0.1105
PPO2,0.027,-0.0603999999999999,0.1299
CPP2h,0.027,-0.0424,0.1459
CP2,0.03,-0.0193,0.1543
CCP2h,0.027,0.0058,0.1534
FCC2h,0.029,0.031,0.1454
FC2,0.03,0.0577,0.1321999999999999
FFC2h,0.027,0.0783,0.1187
F2,0.028,0.0958,0.0965999999999999
AF4,0.029,0.1047999999999999,0.0703
Fp2,0.028,0.107,0.0458999999999999
84,-0.0,-0.0,0.0
85,-0.0,-0.0,0.0
AF8,0.052,0.0909,0.0458
AFF6h,0.051,0.0906,0.069
F4,0.05,0.0802,0.0923
FFC4h,0.052,0.0606,0.1138
FCC4h,0.054,0.0378999999999999,0.1265
C2,0.054,0.013,0.1374
CCP4h,0.052,-0.0127,0.1414
CPP4h,0.052,-0.0356,0.135
P4,0.048,-0.0566,0.1193
PO4,0.047,-0.07,0.0988
POO8,0.048,-0.0779,0.0745
POO10h,0.045,-0.0834,0.053
POO12h,0.045,-0.0841,0.0299
PO12,0.062,-0.0663,0.0188
PO10,0.063,-0.0665,0.043
PPO8,0.064,-0.0626,0.0677
P6,0.067,-0.0528999999999999,0.0907
CPP6h,0.069,-0.0387,0.1082
CP4,0.072,-0.0144,0.1185
C4,0.074,0.0114,0.1155
FC4,0.072,0.0352,0.1036
FFC6h,0.066,0.059,0.0917999999999999
F6,0.066,0.071,0.0652
F8,0.068,0.07,0.0392
110,-0.0,-0.0,0.0
111,-0.0,-0.0,0.0
FFT8h,0.074,0.0528,0.0472
FC6,0.078,0.0412999999999999,0.0697
FCC6h,0.08,0.0189,0.0934
CCP6h,0.082,-0.008,0.0955999999999999
TPP8h,0.078,-0.0325,0.0843
P8,0.074,-0.0448999999999999,0.0636
P10,0.074,-0.0482,0.0358
P12,0.07,-0.0532,0.0101999999999999
TTP8h,0.082,-0.0222,0.069
C6,0.086,0.0015,0.0733
FTT8h,0.082,0.0233999999999999,0.0627
FT8,0.079,0.035,0.0412
T10,0.084,0.0073,-0.0149
FT10,0.082,0.017,0.0081
FTT10h,0.084,0.0119,0.0327999999999999
T8,0.086,-0.0036,0.0467
TP8,0.08,-0.0315,0.049
Trigger,-0.0,-0.0,0.0
